Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Notice of Special Interest (NOSI): Clarification of the Objectives and Program Elements in NHGRI Applications Submitted in Response to the ""Ruth L. Kirschstein NRSA Institutional Research Training Grants (Parent T32)""",9/29/2020,,T32,NHGRI,NIH,None,NOT-HG-21-010,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-HG-21-010.html
"Specialized Programs of Research Excellence (SPOREs) in Human Cancers for Years 2021, 2022, and 2023 (P50 Clinical Trial Required)",9/28/2020,1/7/2024,P50,NCI,NIH,NIDCR,PAR-20-305,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-305.html
Otolaryngology Residency Mentored Research Pathway (R25 Clinical Trial Not Allowed),9/22/2020,6/13/2023,R25,NIDCD,NIH,None,RFA-DC-20-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-20-002.html
Drug Development Collaboratory (UG3/UH3 Clinical Trial Required),9/18/2020,6/9/2023,UG3/UH3,NCATS,NIH,None,PAR-20-301,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-301.html
HEAL Initiative: Non-addictive Analgesic Therapeutics Development [Small Molecules and Biologics] to Treat Pain (UG3/UH3 Clinical Trial Optional),9/16/2020,1/7/2024,UG3/UH3,NINDS,NIH,"NIAAA, NIAMS, NCCIH, NIDDK, ORWH, NICHD, NIDCR, NIDA, NEI",RFA-NS-21-010,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-21-010.html
Computational Approaches to Curation at Scale for Biomedical Research Assets (R01 Clinical Trial Not Allowed),9/15/2020,5/7/2023,R01,NLM,NIH,None,PAR-20-304,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-304.html
Notice of Special Interest (NOSI): The Influence of Host Resilience on Heterogeneity of Acute Respiratory Distress Syndrome/Acute Lung Injury (ARDS/ALI),9/15/2020,,R01,NHLBI,NIH,None,NOT-HL-20-814,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-20-814.html
Limited Competition: Exploratory and Developmental Research Grant Program for NIAID K01/K08/K23 Recipients (R21 Clinical Trial Not Allowed),9/14/2020,9/7/2023,R21,NIAID,NIH,None,PAR-20-291,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-291.html
Limited Competition: Small Research Grant Program for NIAID K01/K08/K23 Recipients (R03 Clinical Trial Not Allowed),9/14/2020,9/7/2023,R03,NIAID,NIH,None,PAR-20-290,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-290.html
Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers (P50 Clinical Trial Optional),9/10/2020,5/17/2023,P50,NIMH,NIH,None,PAR-20-293,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-293.html
Development of the Fetal Immune System (R01 Clinical Trial Not Allowed),9/9/2020,12/7/2023,R01,NICHD,NIH,NIAID,PAR-20-298,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-298.html
Modules for Enhancing Biomedical Research Workforce Training (R25 Clinical Trial Not Allowed),9/9/2020,6/19/2023,R25,NIGMS,NIH,None,PAR-20-296,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-296.html
"Notice of Special Interest (NOSI): Palliative Care in Heart, Lung, Blood, and Sleep Diseases",9/9/2020,,R01,NHLBI,NIH,None,NOT-HL-20-737,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-20-737.html
Tobacco Control Policies to Promote Health Equity (R21 Clinical Trial Optional),9/4/2020,9/7/2023,R21,NCI,NIH,ODP,PAR-20-303,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-303.html
Tobacco Control Policies to Promote Health Equity (R01 Clinical Trial Optional),9/4/2020,9/7/2023,R01,NCI,NIH,"NIMHD, ODP",PAR-20-302,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-302.html
HIV Vaccine Research and Design (HIVRAD) Program (P01 Clinical Trial Not Allowed),9/3/2020,3/15/2023,P01,NIAID,NIH,None,PAR-21-024,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-024.html
Notice of Special Interest: Advancing the Science of Geriatric Palliative Care,9/3/2020,,"R01,R21",NIA,NIH,"ORWH, NINR, NCI, NHLBI, NIMHD",NOT-AG-20-041,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-20-041.html
Notice of Special Interest: Emerging Viral Infections and their Impact on the Male and Female Reproductive Tract,9/1/2020,,"R01,R21",NICHD,NIH,ORWH,NOT-HD-20-021,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-20-021.html
"Notice of Special Interest: Optimizing Precision Treatment of Gynecologic, Reproductive and Obstetrical Outcomes in Adolescents and Adults with PCOS and Associated Comorbid Conditions  (Clinical Trial Optional)",9/1/2020,,"R01,R03",NICHD,NIH,ORWH,NOT-HD-20-026,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-20-026.html
"New Models of Integrated HIV/AIDS, Addiction, and Primary Care Services (R34 - Clinical Trial Optional )",8/28/2020,8/11/2023,R34,NIDA,NIH,None,PAR-20-274,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-274.html
"New Models of Integrated HIV/AIDS, Addiction, and Primary Care Services (R01 Clinical Trial Required)",8/28/2020,8/11/2023,R01,NIDA,NIH,None,PAR-20-273,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-273.html
NIOSH Centers of Excellence for Total Worker Health (U19),8/26/2020,10/30/2023,U19,NIOSH,CDC,None,PAR-20-297,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-297.html
Notice of Special Interest: Alcohol and Aging,8/19/2020,,"R01,R03,R21",NIAAA,NIH,None,NOT-AA-20-019,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-20-019.html
Intervention Research to Improve Native American Health (R01 Clinical Trial Optional),8/17/2020,9/7/2023,R01,NIDA,NIH,"NCI, NHLBI, NIAAA, NIAID, NIAMS, NIBIB, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINR, NLM, OBSSR, ODP",PAR-20-238,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-238.html
Research to Improve Native American Health (R21 Clinical Trials Optional),8/17/2020,9/7/2023,R21,NIDA,NIH,"NCATS, NCCIH, NCI, NIAAA, NIAMS, NIDCR, NIEHS, NIMH, NIMHD, NINR, NLM, OBSSR, ODP, ORWH",PAR-20-214,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-214.html
Innovative Research in Cancer Nanotechnology (IRCN) (R01 Clinical Trial Not Allowed),8/13/2020,5/4/2023,R01,NCI,NIH,None,PAR-20-284,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-284.html
Notice of Special Interest (NOSI): Simulation Modeling and Systems Science to Address Health Disparities,8/13/2020,,R01,NIMHD,NIH,"NCI, NIDA, NLM, ODP, OBSSR, NIMH, NIAMS",NOT-MD-20-025,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-20-025.html
Cellular and Molecular Biology of Complex Brain Disorders (R21 Clinical Trial Not Allowed),8/10/2020,9/7/2023,R21,NIMH,NIH,None,PAR-20-264,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-264.html
Cellular and Molecular Biology of Complex Brain Disorders (R01 Clinical Trial Not Allowed),8/10/2020,9/7/2023,R01,NIMH,NIH,None,PAR-20-263,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-263.html
Notice of Special Interest: Secondary Analyses of Existing Alcohol Research Data,8/10/2020,,"R01,R03,R21",NIAAA,NIH,None,NOT-AA-20-018,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-20-018.html
BRAIN Initiative: Data Archives for the BRAIN Initiative (R24 Clinical Trial Optional),8/7/2020,7/14/2023,R24,NIMH,NIH,"NIAAA, NIA, NCCIH, NIDCD, NICHD, NIBIB, NINDS, NIDA, NEI",RFA-MH-20-600,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-20-600.html
Cooperative Research Agreements Related to the World Trade Center Health Program (U01),8/7/2020,12/12/2024,U01,NIOSH,CDC,None,PAR-20-280,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-280.html
NIAID Clinical Trial Planning Grant (R34 Clinical Trials Not Allowed),8/5/2020,5/12/2023,R34,NIAID,NIH,None,PAR-20-270,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-270.html
"NIH StrokeNet Clinical Trials and Biomarker Studies for Stroke Treatment, Recovery, and Prevention (UG3/UH3 Clinical Trial Optional)",7/29/2020,7/23/2023,UG3/UH3,NINDS,NIH,None,PAR-20-285,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-285.html
"Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03) Clinical Trial Optional)",7/29/2020,7/19/2023,R03,NHGRI,NIH,"NIEHS, OBSSR, NIMH, FIC, NIA, NCI",PAR-20-257,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-257.html
"Ethical, Legal and Social Implications (ELSI) (Research R01 Clinical Trial Optional)",7/28/2020,7/19/2023,R01,NHGRI,NIH,"NIEHS, OBSSR, NEI, NIMH, NIA, NINDS, NCI, NHLBI, NIMHD",PAR-20-254,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-254.html
"Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21) (Clinical Trial Optional)",7/28/2020,7/19/2023,R21,NHGRI,NIH,"NEI, NIEHS, OBSSR, NIA, NIMH, NINDS, NCI",PAR-20-255,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-255.html
"Device-Based Treatments for Substance Use Disorders (UG3/UH3, Clinical Trial Optional)",7/27/2020,8/10/2023,UG3/UH3,NIDA,NIH,None,PAR-20-279,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-279.html
Fertility Status as a Marker for Overall Health (R01 Clinical Trial Optional),7/23/2020,6/19/2023,R01,NICHD,NIH,"NCI, NIEHS, ORWH, ODP",PAR-20-281,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-281.html
Fertility Status as a Marker for Overall Health (R21 Clinical Trial Not Allowed),7/23/2020,6/19/2023,R21,NICHD,NIH,"NCI, NIEHS, ORWH, ODP",PAR-20-282,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-282.html
Notice of Special Interest (NOSI): Methods Development in Natural Products Research (SBIR/STTR),7/16/2020,,"R41/R42,R43/R44",NCCIH,NIH,None,NOT-AT-20-015,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AT-20-015.html
Notice of Special Interest (NOSI): Stimulating Intervention Research to Reduce Cardiopulmonary Impacts of Particulate Matter in Air Pollution among High-Risk Populations,7/16/2020,,R01,NHLBI,NIH,NIEHS,NOT-HL-20-788,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-20-788.html
Promoting Research on Music and Health: Phased Innovation Award for Music Interventions (R61/R33 Clinical Trial Optional),7/15/2020,6/19/2023,R61/R33,NCCIH,NIH,"NCI, NIMH, NIA, NIAAA, OBSSR",PAR-20-266,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-266.html
Notice of Special Interest (NOSI): Obesity Policy Evaluation Research (R01 Clinical Trial Not Allowed),7/13/2020,,R01,NIDDK,NIH,"OBSSR, NCI, NICHD, ODP, NHLBI",NOT-DK-20-035,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-20-035.html
Notice of Special Interest:  Epidemiology and Prevention in Alcohol Research,7/13/2020,,"R01,R21,R03",NIAAA,NIH,None,NOT-AA-20-017,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-20-017.html
"SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1, Clinical Trial Not Allowed)",7/10/2020,4/5/2023,SB1,NIH,NIH,"NIAMS, NIDCD, NIDCR, NEI, NIAID, NIGMS, NIDDK, NIMH, NINDS, NIAAA, NHLBI, NICHD, NIA",PAR-20-129,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-129.html
"SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance (SB1, Clinical Trial Not Allowed)",7/10/2020,4/5/2023,SB1,NIH,NIH,"NIAMS, NIDCR, NIBIB, NIMH, NIDCD, NIGMS, NIDDK, NIEHS, NCATS, NLM, NCCIH, NEI, NHGRI, NIAAA, NHLBI, NCI, NIA",PAR-20-128,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-128.html
SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1 Clinical Trial Required),7/10/2020,4/5/2023,SB1,NIH,NIH,"NIDCD, NINDS, NIMH, NIA, NEI, NHLBI, NICHD, NIAAA",PAR-20-130,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-130.html
Countermeasures Against Chemical Threats (CounterACT) Exploratory/Developmental Projects (R21 Clinical Trial Not Allowed),7/7/2020,5/30/2023,R21,NINDS,NIH,"NEI, NIAID, NIAMS, NIDA, NIEHS",PAR-20-253,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-253.html
NIDA Mentored Clinical Scientist Development Program Award in Substance Use and Substance Use Disorder Research (K12 Clinical Trial Optional),7/1/2020,11/15/2023,K12,NIDA,NIH,None,PAR-20-249,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-20-249.html
Notice of Special Interest (NOSI): Utilizing Telemedicine or Other Remote-Based Platforms to Develop and Support Treatments for Substance Use Disorders,6/29/2020,,"R01,R21",NIDA,NIH,None,NOT-DA-20-058,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-20-058.html
Enabling Technologies to Accelerate Development of Oral Biodevices (R01 Clinical Trial Not Allowed),6/16/2020,5/7/2023,R01,NIDCR,NIH,None,PAR-20-233,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-233.html
Enabling Technologies to Accelerate Development of Oral Biodevices (R21 Clinical Trial Not Allowed),6/16/2020,5/7/2023,R21,NIDCR,NIH,None,PAR-20-232,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-232.html
Behavioral Tasks Targeting Brain Systems Relevant to Anhedonia (R01 Basic Experimental Studies with Humans Required),6/15/2020,9/7/2023,R01,NIMH,NIH,None,PAR-20-235,PAR,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PAR-20-235.html
Center for Inherited Disease Research (CIDR) High Throughput Sequencing and Genotyping Resource Access (X01),6/11/2020,7/8/2023,X01,NHGRI,NIH,None,PAR-20-230,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-230.html
Administrative Supplement for Research on Dietary Supplements (Admin Supp-Clinical Trial Not Allowed),6/9/2020,4/15/2023,Admin Supp,ODS,NIH,"NIAAA, NIA, NIAID, NIAMS, NCCIH, NCI, NIDCD, NIDDK, NIEHS, NICHD, NIBIB, NIMHD, FIC, ORIP, NIDCR, NEI",PA-20-227,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-227.html
Notice of Special Interest (NOSI): NIAID Priorities for Biomedical Knowledgebases & Repositories,6/8/2020,,U24,NIAID,NIH,None,NOT-AI-20-044,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-20-044.html
Notice of Special Interest (NOSI): Role of Astrocytes and Astrocytic Networks in Drug Abuse,6/8/2020,,"R01,R21",NIDA,NIH,None,NOT-DA-20-060,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-20-060.html
"Notice of Special Interest (NOSI) of NIDCR in Supporting Dental, Oral, and Craniofacial Research Using Bioinformatic, Computational, and Data Science Approaches",6/5/2020,,"R01,R21,R03,R41/R42,F99/K00,F30,F31,F32,F33,K01,K08,K23,K25,K22,K99/R00,K43,K18,R15,R43/R44",NIDCR,NIH,None,NOT-DE-20-006,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-20-006.html
Advancing Genomic Medicine Research (Clinical Trial Optional) (R21),6/4/2020,3/13/2023,R21,NHGRI,NIH,None,RFA-HG-20-037,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-20-037.html
Advancing Genomic Medicine Research (Clinical Trial Optional) (R01),6/4/2020,3/13/2023,R01,NHGRI,NIH,None,RFA-HG-20-036,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-20-036.html
"Notice of Special Interest (NOSI): Research on Co-morbid Substance Use, Substance Use Disorders, and Other Psychiatric Disorders",6/4/2020,,"R34,R21,R03,R01",NIDA,NIH,ORWH,NOT-DA-20-004,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-20-004.html
"Mid-Career Enhancement Awards to Integrate Basic Behavioral, Biomedical, and/or Social Scientific Processes (K18 No Independent Clinical Trials)",6/3/2020,3/17/2023,K18,OPPNET,NIH,"NCCIH, NCI, NIEHS, OBSSR, NIAAA, NIMHD, NIMH",PAR-20-211,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-211.html
"Mid-Career Enhancement Awards to Integrate Basic Behavioral, Biomedical, and/or Social Scientific Processes (K18 Basic Experimental Studies with Humans Required)",6/3/2020,3/17/2023,K18,OPPNET,NIH,"NCCIH, NCI, NIEHS, OBSSR, NIAAA, NIMHD, NIMH",PAR-20-226,PAR,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PAR-20-226.html
Notice of Special Interest: NIGMS Priorities for Small Business Development of Sepsis Diagnostics and Therapeutics,6/2/2020,,"R41/R42,R43/R44,SB1",NIGMS,NIH,None,NOT-GM-20-028,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-20-028.html
National Institute of General Medical Sciences Institutional Predoctoral Research Training Grant (T32 - Clinical Trial Not Allowed),6/1/2020,5/25/2023,T32,NIGMS,NIH,None,PAR-20-213,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-213.html
Limited Competition: National Primate Research Centers (P51) Program,5/27/2020,5/25/2023,P51,ORIP,NIH,None,PAR-20-181,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-20-181.html
Notice of Special Interest:  Promoting Fundamental and Applied Research in Inflammation Resolution,5/27/2020,,"R21,R01",NIEHS,NIH,"NHLBI, NIAMS",NOT-ES-20-018,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-20-018.html
Natural Product Multi-Site Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Required),5/20/2020,5/7/2023,U24,NCCIH,NIH,None,PAR-20-219,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-219.html
NCCIH Natural Product Early Phase Clinical Trial Phased Innovation Award (R61/R33 Clinical Trial Required),5/20/2020,5/7/2023,R61/R33,NCCIH,NIH,ODS,PAR-20-218,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-218.html
NCCIH Natural Product Early Phase Clinical Trial Award (R33 Clinical Trial Required),5/20/2020,5/7/2023,R33,NCCIH,NIH,ODS,PAR-20-217,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-217.html
NCCIH Natural Product Mid Phase Clinical Trial Cooperative Agreement (U01 Clinical Trial Required),5/20/2020,5/7/2023,U01,NCCIH,NIH,None,PAR-20-216,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-216.html
Clinical Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Natural Products (Collaborative UG3/UH3 Clinical Trial Required),5/20/2020,5/7/2023,UG3/UH3,NCCIH,NIH,None,PAR-20-215,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-20-215.html
Eradication of HIV-1 from Central Nervous system Reservoirs (R01 Clinical Trial Not Allowed),5/13/2020,5/7/2023,R01,NIMH,NIH,"NINDS, NIDA",PA-20-151,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-151.html
HIV Infection of the Central Nervous System (R01 Clinical Trial Not Allowed),5/13/2020,5/7/2023,R01,NIMH,NIH,"NIAAA, NIA, NINDS, NIDA",PA-20-149,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-149.html
Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Not Allowed),5/12/2020,5/7/2023,K08,NIH,NIH,"NIAAA, NCI, NIDCD, NIDA, NIDCR, NEI, NIGMS, NIAMS, NINDS, NICHD, NHGRI, NIAID, NCCIH, NIMHD, NIBIB, NIMH, NIA, NIEHS, NIDDK, NHLBI",PA-20-203,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-203.html
Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Required),5/12/2020,5/7/2023,K08,NIH,NIH,"NIAAA, NIDA, NIDCD, NCI, NIDCR, NCCIH, NICHD, NIMHD, NINDS, NHGRI, NIA, NIEHS, NIBIB, NHLBI, NIMH",PA-20-202,PA,Required,https://grants.nih.gov/grants/guide/pa-files/PA-20-202.html
Mentored Clinical Scientist Research Career Development Award (Parent K08 Independent Basic Experimental Studies with Humans Required),5/12/2020,5/7/2023,K08,NIH,NIH,"NCCIH, NCI, NEI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINDS",PA-20-201,PA,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PA-20-201.html
Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Required),5/12/2020,5/7/2023,K23,NIH,NIH,"NCCIH, NEI, NHLBI, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR",PA-20-206,PA,Required,https://grants.nih.gov/grants/guide/pa-files/PA-20-206.html
Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Not Allowed),5/11/2020,5/7/2023,K23,NIH,NIH,"NEI, NIAAA, NIDA, NIDCD, NIDCR, NIGMS, NIAMS, NCCIH, NIMHD, NIEHS, NINDS, NIAID, NIBIB, NHLBI, NIDDK, NICHD, NIA, NINR, NIMH",PA-20-205,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-205.html
Mentored Patient-Oriented Research Career Development Award (Parent K23 Independent Basic Experimental Studies with Humans Required),5/11/2020,5/7/2023,K23,NIH,NIH,"NICHD, NIMH, NIDA, NIAAA, NIDCD, NIDCR, NEI, NINR, NIEHS, NCCIH, NINDS, NIA",PA-20-204,PA,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PA-20-204.html
Substance Use/Substance Use Disorder Dissertation Research Award (R36 - Clinical Trials Optional),5/8/2020,5/7/2023,R36,NIDA,NIH,None,PA-20-208,PA,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-20-208.html
Mentored Quantitative Research Development Award (Parent K25 Independent Clinical Trial Not Allowed),5/7/2020,5/7/2023,K25,NIH,NIH,"NCI, NHGRI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS",PA-20-199,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-199.html
Mentored Quantitative Research Development Award (Parent K25 Independent Clinical Trial Required),5/7/2020,5/7/2023,K25,NIH,NIH,"NCI, NHGRI, NHLBI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS",PA-20-197,PA,Required,https://grants.nih.gov/grants/guide/pa-files/PA-20-197.html
Mentored Quantitative Research Development Award (Parent K25 Independent Basic Experimental Studies with Humans Required),5/7/2020,5/7/2023,K25,NIH,NIH,"NCI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIDCR, NIEHS",PA-20-198,PA,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PA-20-198.html
NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed),5/7/2020,5/7/2023,R03,NIH,NIH,"NINDS, NHGRI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDA, NIEHS, NIMH",PA-20-200,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-200.html
NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Not Allowed),5/7/2020,5/7/2023,R21,NIH,NIH,"NCCIH, NEI, NHGRI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NINR, NLM",PA-20-195,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-195.html
NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Required),5/7/2020,5/7/2023,R21,NIH,NIH,"NINR, NEI, NHGRI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIEHS, NIMH",PA-20-194,PA,Required,https://grants.nih.gov/grants/guide/pa-files/PA-20-194.html
NIH Exploratory/Developmental Research Grant Program (Parent R21 Basic Experimental Studies with Humans Required),5/7/2020,5/7/2023,R21,NIH,NIH,"NCCIH, NEI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINR",PA-20-196,PA,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PA-20-196.html
Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Required),5/7/2020,5/7/2023,K01,NIH,NIH,"NCCIH, NHGRI, NHLBI, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIMH, NIMHD, NINR",PA-20-176,PA,Required,https://grants.nih.gov/grants/guide/pa-files/PA-20-176.html
Mentored Research Scientist Development Award (Parent K01 Independent Basic Experimental Studies with Humans Required),5/7/2020,5/7/2023,K01,NIH,NIH,"NIDCD, NIDCR, NIAAA, NIDA, NINR, NIA, NCCIH, NIMH, NICHD",PA-20-191,PA,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PA-20-191.html
Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Not Allowed),5/7/2020,5/7/2023,K01,NIH,NIH,"NCCIH, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIMH, NIMHD, NINR, ORIP",PA-20-190,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-20-190.html
Midcareer Investigator Award in Patient-Oriented Research (Parent K24 - Independent Basic Experimental Studies with Humans Required),5/6/2020,5/7/2023,K24,NIH,NIH,"NIAAA, NIDA, NIDCD, NIEHS, NINR, NIA, NCCIH, NIMH",PA-20-192,PA,Basic_Trial,https://grants.nih.gov/grants/guide/pa-files/PA-20-192.html
